"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"05-01 Day","NO_UP_HIGH1","A1_5",100,1.1,100,5,100,6.9,100,6.6,20,0.2,100,4.1,100,5.6,100,5.3,0,-1,20,-0.2,80,3,80,2.8
"05-01 Day","NO_UP_HIGH1","B6_10",100,2.4,100,4.6,100,6.3,100,4.9,20,0.8,80,3.1,100,4,100,2.4,0,-0.7,20,0.4,40,0.1,40,1
"05-01 Day","NO_UP_HIGH1","C11_15",100,4,100,5.3,100,7.6,100,11.2,80,1.7,80,4.2,80,5.1,100,9.1,0,-0.7,60,0.4,80,1.5,80,3.7
"05-01 Day","NO_UP_HIGH1","D16_20",100,2.6,100,2.6,80,1.9,80,1.6,40,0.5,80,1.7,80,0.9,20,-0.1,0,-0.9,20,-1,0,-1.7,20,-1.3
"05-01 Day","NO_UP_HIGH1","Z21~all",97.2,1.9,92.3,3.8,87.8,5.2,80.7,5.3,49.2,0.1,80.7,2.5,74,3.3,72.4,3.6,0,-1.3,21.5,-1.5,42.5,-0.6,49.7,0.4
"05-01 Day","NO_UP_HIGH16","A1_5",100,1.5,80,4.7,80,4.5,60,3.4,40,0,80,2.7,60,2.8,60,1.7,0,-1,20,-0.4,40,0,40,0.2
"05-01 Day","NO_UP_HIGH16","B6_10",100,1.6,100,4,100,5.2,100,6.8,40,0.6,100,3.1,100,3.5,100,5.5,0,-0.2,40,0.3,60,1.1,80,2.6
"05-01 Day","NO_UP_HIGH16","C11_15",100,0.9,100,3.9,100,5.4,80,5.2,20,-0.5,100,3.6,80,3.9,80,4,0,-1.2,0,-0.9,40,-1,60,0.6
"05-01 Day","NO_UP_HIGH16","D16_20",80,1.9,80,2.1,80,2.6,60,2.6,40,-0.7,80,0.9,20,0.5,60,1.4,0,-1.5,20,-2.4,20,-3.9,20,-2.4
"05-01 Day","NO_UP_HIGH16","Z21~all",97.8,2,93.4,3.9,88.4,5.3,82.9,5.5,49.7,0.2,80.1,2.6,76.8,3.5,72.9,3.7,0,-1.3,22.7,-1.4,43.6,-0.5,50.3,0.6
"05-01 Day","RE_RANK","A1_5",100,1.5,80,4.7,80,4.5,60,3.4,40,0,80,2.7,60,2.8,60,1.7,0,-1,20,-0.4,40,0,40,0.2
"05-01 Day","RE_RANK","B6_10",100,1.2,100,3.6,100,5.4,100,6.6,20,0,100,3.2,100,3.8,100,5.8,0,-0.5,0,-0.4,60,1.5,60,2.3
"05-01 Day","RE_RANK","C11_15",80,1,100,3.4,100,5.3,100,5.9,60,-0.3,100,3.1,80,3.4,100,4.1,0,-1.1,20,-0.8,20,-0.2,80,2
"05-01 Day","RE_RANK","D16_20",100,4.1,80,5.3,80,3.9,80,4.9,80,2.9,80,3.1,80,2.8,80,3.1,0,-0.5,80,-0.4,60,0.1,60,0.8
"05-01 Day","RE_RANK","Z21~all",97.8,1.9,93.4,3.9,88.4,5.3,81.8,5.4,48.1,0.1,80.1,2.6,75.1,3.4,71.8,3.6,0,-1.3,21.5,-1.5,43.1,-0.6,49.2,0.4
"05-01 Day","RE_RANK_UP","A1_5",100,1.5,80,4.7,80,4.5,60,3.4,40,0,80,2.7,60,2.8,60,1.7,0,-1,20,-0.4,40,0,40,0.2
"05-01 Day","RE_RANK_UP","B6_10",100,1.3,100,3.1,100,4.9,100,5.2,40,0.2,100,2.4,100,2.8,100,4.1,0,-0.4,20,-0.1,40,0.3,60,1.5
"05-01 Day","RE_RANK_UP","C11_15",80,0.9,100,4,100,5.8,100,7.3,40,-0.6,100,3.9,80,4.5,100,5.8,0,-1.2,0,-1,40,1,80,2.8
"05-01 Day","RE_RANK_UP","D16_20",100,3.9,100,5.8,100,5.2,80,4.2,80,3,100,4.2,80,3.7,80,2.4,0,-0.6,80,0.6,60,-0.7,60,-0.1
"05-01 Day","RE_RANK_UP","Z21~all",97.8,1.9,92.8,3.8,87.8,5.2,81.8,5.4,48.1,0.1,79.6,2.5,75.1,3.4,71.8,3.6,0,-1.3,21.5,-1.5,43.1,-0.6,49.2,0.5
"05-04 Day","NO_UP_HIGH1","A1_5",80,1.1,80,2.6,100,4.2,NA,NA,60,0.4,80,1.6,60,2.5,NA,NA,0,-0.7,40,-0.8,40,0.2,NA,NA
"05-04 Day","NO_UP_HIGH1","B6_10",100,1.2,100,3,80,2.4,NA,NA,60,-0.2,80,1.2,60,0.7,NA,NA,0,-2.1,0,-1.9,0,-2.8,NA,NA
"05-04 Day","NO_UP_HIGH1","C11_15",100,1.1,100,3.1,100,7.3,NA,NA,40,0.3,80,1.9,80,6,NA,NA,0,-1.2,40,-0.7,40,1.1,NA,NA
"05-04 Day","NO_UP_HIGH1","D16_20",100,1.7,80,3.7,60,2.6,NA,NA,60,-0.1,80,2.7,40,0.8,NA,NA,0,-1.3,20,-1.3,40,-2.4,NA,NA
"05-04 Day","NO_UP_HIGH1","Z21~all",94.5,1.5,85.1,3.5,77.3,4.7,NA,NA,50.8,0.3,69.1,2.1,63,2.9,NA,NA,0,-1.4,21,-1.6,32.6,-1.2,NA,NA
"05-04 Day","NO_UP_HIGH16","A1_5",100,0.8,100,1.8,100,3.3,NA,NA,60,0.4,100,1.3,80,2,NA,NA,0,-0.9,0,-1.5,0,-0.8,NA,NA
"05-04 Day","NO_UP_HIGH16","B6_10",100,2.1,60,3.6,40,3.8,NA,NA,60,1,60,2.3,40,2.4,NA,NA,0,-1.3,40,-1.8,40,-1,NA,NA
"05-04 Day","NO_UP_HIGH16","C11_15",100,2.2,100,3.4,100,4.3,NA,NA,60,0.9,80,2.3,60,2.7,NA,NA,0,-0.6,60,0.1,60,0.3,NA,NA
"05-04 Day","NO_UP_HIGH16","D16_20",100,1.2,100,2.6,60,1.7,NA,NA,100,0.7,80,1.2,20,-1.4,NA,NA,0,-0.8,20,-2,0,-4.3,NA,NA
"05-04 Day","NO_UP_HIGH16","Z21~all",93.9,1.5,85.1,3.6,78.5,4.8,NA,NA,49.2,0.2,69.1,2.2,64.1,3,NA,NA,0,-1.5,20.4,-1.6,33.1,-1.1,NA,NA
"05-04 Day","RE_RANK","A1_5",100,1.2,60,2.1,60,2,NA,NA,40,-0.3,60,1.3,40,1,NA,NA,0,-1.4,20,-1.3,20,-1.4,NA,NA
"05-04 Day","RE_RANK","B6_10",100,1.8,100,3,80,3.7,NA,NA,80,1.4,100,1.7,60,1.5,NA,NA,0,-0.7,40,-2.3,20,-2.7,NA,NA
"05-04 Day","RE_RANK","C11_15",100,1.8,80,3.2,60,4.5,NA,NA,60,0.9,60,2.2,40,2.3,NA,NA,0,-0.7,40,-0.6,40,-0.5,NA,NA
"05-04 Day","RE_RANK","D16_20",100,1.2,100,3.9,100,4.2,NA,NA,80,0.8,100,2.7,80,2.5,NA,NA,0,-0.7,20,-0.9,60,0.8,NA,NA
"05-04 Day","RE_RANK","Z21~all",93.9,1.5,85.6,3.5,78.5,4.7,NA,NA,49.7,0.2,69.1,2.1,63.5,3,NA,NA,0,-1.5,20.4,-1.6,32,-1.2,NA,NA
"05-04 Day","RE_RANK_UP","A1_5",100,1.2,60,2.1,60,2,NA,NA,40,-0.3,60,1.3,40,1,NA,NA,0,-1.4,20,-1.3,20,-1.4,NA,NA
"05-04 Day","RE_RANK_UP","B6_10",100,2.2,100,3.8,80,5.6,NA,NA,80,1.8,100,2.4,80,3.8,NA,NA,0,-0.7,40,-1.6,40,0,NA,NA
"05-04 Day","RE_RANK_UP","C11_15",100,1.4,100,3.1,80,1.8,NA,NA,80,0.7,80,1.7,40,-0.6,NA,NA,0,-0.8,40,-1.5,20,-2.7,NA,NA
"05-04 Day","RE_RANK_UP","D16_20",100,1.5,80,4.5,60,6.6,NA,NA,80,0.6,60,2.8,60,4.6,NA,NA,0,-1,40,-1.6,60,0,NA,NA
"05-04 Day","RE_RANK_UP","Z21~all",93.9,1.5,85.6,3.5,79,4.7,NA,NA,49.2,0.2,69.6,2.1,63.5,2.9,NA,NA,0,-1.5,19.9,-1.6,32,-1.2,NA,NA
"05-09 Day","NO_UP_HIGH1","A1_5",100,0.8,80,1.6,80,2.4,NA,NA,20,-0.7,80,1.3,60,1.2,NA,NA,0,-1.5,0,-1.8,40,0.4,NA,NA
"05-09 Day","NO_UP_HIGH1","B6_10",60,0.3,80,4.3,60,4.4,NA,NA,0,-1.9,60,2.5,60,2.8,NA,NA,0,-2.2,20,-1.8,60,1.6,NA,NA
"05-09 Day","NO_UP_HIGH1","C11_15",80,2.5,80,4.1,60,2.2,NA,NA,20,-0.3,60,2.6,60,-0.7,NA,NA,0,-1.8,20,-2.6,40,-2,NA,NA
"05-09 Day","NO_UP_HIGH1","D16_20",100,1.6,100,3,80,3.4,NA,NA,40,0.1,80,2.1,60,2.1,NA,NA,0,-0.8,20,-0.8,60,1,NA,NA
"05-09 Day","NO_UP_HIGH1","Z21~all",87.3,1.1,81.2,3,72.9,2.7,NA,NA,23.8,-0.8,55.8,1.1,51.4,0.8,NA,NA,0,-1.7,9.9,-2.6,37.6,-0.7,NA,NA
"05-09 Day","NO_UP_HIGH16","A1_5",100,0.5,60,1.2,60,0.9,NA,NA,0,-1.7,40,0.5,40,-0.7,NA,NA,0,-2.2,0,-3.2,20,-1.4,NA,NA
"05-09 Day","NO_UP_HIGH16","B6_10",100,0.7,60,1.3,100,2.9,NA,NA,20,-1.1,60,0.7,40,1.3,NA,NA,0,-1.5,0,-1.7,40,0.8,NA,NA
"05-09 Day","NO_UP_HIGH16","C11_15",40,0.6,80,3.3,80,3.3,NA,NA,0,-1.8,80,2.4,60,1.9,NA,NA,0,-2,0,-1.7,40,0.7,NA,NA
"05-09 Day","NO_UP_HIGH16","D16_20",80,0.9,100,1.5,40,0,NA,NA,0,-0.7,40,-0.4,0,-2.1,NA,NA,0,-1.4,0,-2.8,0,-2.7,NA,NA
"05-09 Day","NO_UP_HIGH16","Z21~all",87.8,1.1,82.3,3.1,72.9,2.8,NA,NA,25.4,-0.8,57.5,1.3,54.1,1,NA,NA,0,-1.7,11.6,-2.6,40.3,-0.6,NA,NA
"05-09 Day","RE_RANK","A1_5",80,0.8,60,1.1,60,1.1,NA,NA,20,-1.4,60,0.5,40,-0.1,NA,NA,0,-2,0,-2.3,20,-0.9,NA,NA
"05-09 Day","RE_RANK","B6_10",100,0.9,80,2.2,100,2.3,NA,NA,0,-1.3,60,1.5,60,0.7,NA,NA,0,-1.6,0,-1.8,40,0,NA,NA
"05-09 Day","RE_RANK","C11_15",80,0.8,40,0.7,40,-0.9,NA,NA,0,-2,20,-0.5,0,-2.8,NA,NA,0,-2.5,0,-4.6,0,-3.9,NA,NA
"05-09 Day","RE_RANK","D16_20",60,0.2,100,4.1,60,4.5,NA,NA,0,-1.2,60,2.9,60,3.3,NA,NA,0,-1.8,0,-1.8,60,1.8,NA,NA
