"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"08-17 Day","NO_UP_HIGH1","C11_15",100,1.2,100,1.8,100,1.6,NA,NA,80,0.8,100,1.1,100,1.1,NA,NA,0,-0.3,40,-0.4,40,0,NA,NA
"08-17 Day","NO_UP_HIGH1","D16_20",100,1.1,100,2.3,100,4,NA,NA,100,0.8,100,1.9,100,3.4,NA,NA,0,-0.4,40,-0.5,60,0.9,NA,NA
"08-17 Day","NO_UP_HIGH1","Z21~all",98.9,1.1,93.2,2.1,90.9,2.5,NA,NA,83.5,0.7,78.4,1.2,84.1,1.7,NA,NA,0,-0.4,26.7,-1,52.8,-0.4,NA,NA
"08-17 Day","NO_UP_HIGH16","A1_5",100,1.5,100,2.1,100,3.7,NA,NA,100,1.2,100,1.4,80,2.7,NA,NA,0,-0.2,40,-0.3,60,0.5,NA,NA
"08-17 Day","NO_UP_HIGH16","B6_10",100,0.8,100,2,100,3.2,NA,NA,100,0.5,100,1.7,100,2.3,NA,NA,0,-0.2,20,-0.7,60,0.6,NA,NA
"08-17 Day","NO_UP_HIGH16","C11_15",100,1,100,1.9,80,1.1,NA,NA,100,0.6,80,0.8,60,-0.6,NA,NA,0,-0.4,40,-1.2,40,-2.4,NA,NA
"08-17 Day","NO_UP_HIGH16","D16_20",100,1.1,100,1.5,80,1.8,NA,NA,80,0.6,60,0.8,80,1.2,NA,NA,0,-0.2,40,-1.1,60,-0.2,NA,NA
"08-17 Day","NO_UP_HIGH16","Z21~all",98.9,1.1,92,2.1,92,2.5,NA,NA,81.8,0.7,79,1.3,85.8,1.8,NA,NA,0,-0.5,26.7,-1,52.3,-0.3,NA,NA
"08-17 Day","RE_RANK","A1_5",100,1.3,100,2.3,100,2.1,NA,NA,80,1,100,1.5,80,0.9,NA,NA,0,-0.3,20,-0.7,20,-0.3,NA,NA
"08-17 Day","RE_RANK","B6_10",100,1.1,100,2.2,100,4.4,NA,NA,100,0.7,100,1.9,100,3.5,NA,NA,0,-0.1,40,-0.4,80,1.3,NA,NA
"08-17 Day","RE_RANK","C11_15",100,1.3,100,2.4,100,3.4,NA,NA,100,0.8,100,2,100,3,NA,NA,0,-0.1,60,0.1,80,1.1,NA,NA
"08-17 Day","RE_RANK","D16_20",100,1.7,100,1.7,100,1.7,NA,NA,100,1.1,100,1.3,80,0.8,NA,NA,0,-0.2,40,-1,40,-0.8,NA,NA
"08-17 Day","RE_RANK","Z21~all",98.9,1.1,92,2.1,90.9,2.5,NA,NA,81.8,0.7,77.3,1.2,84.7,1.7,NA,NA,0,-0.5,26.1,-1,52.3,-0.4,NA,NA
"08-17 Day","RE_RANK_UP","A1_5",100,1.3,100,2.3,100,2.1,NA,NA,80,1,100,1.5,80,0.9,NA,NA,0,-0.3,20,-0.7,20,-0.3,NA,NA
"08-17 Day","RE_RANK_UP","B6_10",100,1.3,100,2.5,100,4.5,NA,NA,100,0.7,100,2.1,100,3.9,NA,NA,0,-0.1,40,0,80,1.3,NA,NA
"08-17 Day","RE_RANK_UP","C11_15",100,0.8,100,1.2,100,2.5,NA,NA,100,0.5,100,0.8,100,1.7,NA,NA,0,-0.2,20,-0.8,40,0,NA,NA
"08-17 Day","RE_RANK_UP","D16_20",100,1.3,100,1.9,100,2.7,NA,NA,100,1,80,1.5,100,1.8,NA,NA,0,-0.1,60,-0.7,60,0.7,NA,NA
"08-17 Day","RE_RANK_UP","Z21~all",98.9,1.1,92,2.1,90.9,2.5,NA,NA,81.8,0.7,77.8,1.2,84.1,1.7,NA,NA,0,-0.5,26.7,-1,52.8,-0.4,NA,NA
"08-20 Day","NO_UP_HIGH1","A1_5",100,0.4,100,1.4,80,1.9,NA,NA,20,-0.5,80,0.9,60,1.1,NA,NA,0,-0.9,20,-1.3,40,0.2,NA,NA
"08-20 Day","NO_UP_HIGH1","B6_10",100,0.8,100,2.8,100,3.2,NA,NA,20,-0.4,100,2.5,80,2.3,NA,NA,0,-0.8,0,-0.6,60,2,NA,NA
"08-20 Day","NO_UP_HIGH1","C11_15",100,0.7,80,1.1,80,0.6,NA,NA,80,-0.3,80,0.2,60,-0.3,NA,NA,0,-0.8,20,-1.7,40,-1.1,NA,NA
"08-20 Day","NO_UP_HIGH1","D16_20",100,0.7,100,1.6,40,-1.4,NA,NA,40,-0.2,80,0.8,40,-3.2,NA,NA,0,-1,0,-4.5,40,-3.7,NA,NA
"08-20 Day","NO_UP_HIGH1","Z21~all",93.8,0.7,90.3,2,79,1.5,NA,NA,40.9,-0.2,79,1.3,69.9,0.6,NA,NA,0,-0.9,19.9,-1.3,57.4,0,NA,NA
"08-20 Day","NO_UP_HIGH16","A1_5",100,0.5,80,1.5,60,1.3,NA,NA,40,-0.3,60,0.7,60,0.4,NA,NA,0,-0.9,40,-1,40,0,NA,NA
"08-20 Day","NO_UP_HIGH16","B6_10",100,0.5,100,2.5,60,2.3,NA,NA,20,-0.3,100,2.2,60,1.5,NA,NA,0,-0.7,0,-1,60,1.2,NA,NA
