"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"03-05 Day","NO_UP_HIGH1","A1_5",100,5.3,100,9.9,75,10.2,NA,NA,0,-4.9,75,6.8,75,5.2,NA,NA,0,-10.1,0,-9.4,75,2.8,NA,NA
"03-05 Day","NO_UP_HIGH1","B6_10",100,2.6,100,7.4,100,14.1,NA,NA,0,-6.2,100,5,100,12.8,NA,NA,0,-11.3,0,-10.8,40,1.3,NA,NA
"03-05 Day","NO_UP_HIGH1","C11_15",100,3.1,80,6.9,60,14.6,NA,NA,0,-7.5,40,-1,60,9.5,NA,NA,0,-14.6,0,-15.8,20,-5.1,NA,NA
"03-05 Day","NO_UP_HIGH1","D16_20",100,5.9,80,7.3,100,9.7,NA,NA,20,-3.6,80,4.4,80,7,NA,NA,0,-9.1,0,-9,40,1.3,NA,NA
"03-05 Day","NO_UP_HIGH1","Z21~all",98.9,8.4,88.3,12.7,90.4,10.2,NA,NA,14.9,-3.2,78.7,6.6,83,7,NA,NA,0,-11.2,5.3,-10.2,53.2,2.3,NA,NA
"03-05 Day","NO_UP_HIGH16","A1_5",100,2.8,60,8.2,100,10.6,NA,NA,0,-6,60,6.2,80,6.9,NA,NA,0,-12.6,0,-10.3,60,2.8,NA,NA
"03-05 Day","NO_UP_HIGH16","B6_10",100,6,100,11.8,80,25.7,NA,NA,20,-5.8,80,3.2,80,19.7,NA,NA,0,-12.8,0,-14.5,40,-1.8,NA,NA
"03-05 Day","NO_UP_HIGH16","C11_15",100,4.3,100,4.9,80,4.6,NA,NA,0,-6.7,80,2,60,3.1,NA,NA,0,-12.2,0,-12.3,60,-0.9,NA,NA
"03-05 Day","NO_UP_HIGH16","D16_20",100,4.8,100,7.8,100,10.6,NA,NA,0,-5.2,100,3.5,100,8,NA,NA,0,-10.6,0,-10.2,25,-0.8,NA,NA
"03-05 Day","NO_UP_HIGH16","Z21~all",98.9,8.4,88.3,12.6,89.4,10,NA,NA,14.9,-3.2,77.7,6.6,83,6.8,NA,NA,0,-11.1,5.3,-10.1,52.1,2.3,NA,NA
"03-05 Day","RE_RANK","A1_5",100,4.7,80,11.5,100,12.2,NA,NA,20,-4,80,8.5,100,8.1,NA,NA,0,-10.5,0,-8.1,80,4.6,NA,NA
"03-05 Day","RE_RANK","B6_10",100,5.6,80,12.1,80,26.2,NA,NA,0,-7.2,60,3.3,60,20.5,NA,NA,0,-14.8,0,-16.1,40,-1.2,NA,NA
"03-05 Day","RE_RANK","C11_15",100,4.3,100,9.5,100,9.3,NA,NA,0,-5.5,100,5.4,100,6.8,NA,NA,0,-11,0,-11,60,1.4,NA,NA
"03-05 Day","RE_RANK","D16_20",100,5.1,100,7.3,80,6.5,NA,NA,0,-4.6,80,3,60,4.6,NA,NA,0,-10.6,0,-9.7,40,-0.5,NA,NA
"03-05 Day","RE_RANK","Z21~all",98.9,8.3,88.2,12.3,89.2,9.9,NA,NA,15.1,-3.3,77.4,6.3,82.8,6.7,NA,NA,0,-11.1,5.4,-10.3,50.5,2.1,NA,NA
"03-05 Day","RE_RANK_UP","A1_5",100,4.7,80,11.5,100,12.2,NA,NA,20,-4,80,8.5,100,8.1,NA,NA,0,-10.5,0,-8.1,80,4.6,NA,NA
"03-05 Day","RE_RANK_UP","B6_10",100,4.1,80,8.5,80,24.2,NA,NA,0,-7.7,60,0.8,60,18.4,NA,NA,0,-14.8,0,-16.6,20,-3.7,NA,NA
"03-05 Day","RE_RANK_UP","C11_15",100,5.1,100,7.9,80,4.9,NA,NA,0,-5.8,80,4,60,3.1,NA,NA,0,-11.9,0,-11.4,60,0.4,NA,NA
"03-05 Day","RE_RANK_UP","D16_20",100,4.8,100,7,60,5.1,NA,NA,0,-4.2,40,2.4,60,3.4,NA,NA,0,-8.6,0,-8.7,20,-0.7,NA,NA
"03-05 Day","RE_RANK_UP","Z21~all",98.9,8.4,88.2,12.6,91.4,10.3,NA,NA,15.1,-3.3,80.6,6.6,84.9,7.1,NA,NA,0,-11.2,5.4,-10.3,52.7,2.3,NA,NA
"03-06 Day","NO_UP_HIGH1","A1_5",100,8,100,25.7,NA,NA,NA,NA,100,6.7,100,21.4,NA,NA,NA,NA,0,-6.7,60,3.1,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH1","B6_10",100,5.1,100,21.4,NA,NA,NA,NA,100,3.9,80,18.7,NA,NA,NA,NA,0,-3.8,60,1,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH1","C11_15",100,8.5,100,21.8,NA,NA,NA,NA,100,6.2,100,17.1,NA,NA,NA,NA,0,-5.7,100,4.7,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH1","D16_20",100,6.5,100,18.4,NA,NA,NA,NA,100,5.8,100,14.6,NA,NA,NA,NA,0,-5.5,100,2.8,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH1","Z21~all",100,8.7,98.9,16.6,NA,NA,NA,NA,92.5,5,92.5,11.8,NA,NA,NA,NA,0,-7.1,72,1,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH16","A1_5",100,4.9,100,15.3,NA,NA,NA,NA,100,4.3,100,12.1,NA,NA,NA,NA,0,-5.4,80,2.7,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH16","B6_10",100,9.2,100,26.5,NA,NA,NA,NA,80,4.5,80,18.1,NA,NA,NA,NA,0,-9.5,60,-1.2,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH16","C11_15",100,8.6,100,16.2,NA,NA,NA,NA,100,5,100,13.6,NA,NA,NA,NA,0,-5.6,100,2.3,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH16","D16_20",100,7.7,100,32.2,NA,NA,NA,NA,100,7.3,100,25.4,NA,NA,NA,NA,0,-5.1,80,4.5,NA,NA,NA,NA
"03-06 Day","NO_UP_HIGH16","Z21~all",100,8.6,98.9,16.4,NA,NA,NA,NA,93.5,5,92.5,11.9,NA,NA,NA,NA,0,-6.9,72,1.2,NA,NA,NA,NA
"03-06 Day","RE_RANK","A1_5",100,7.3,100,23.4,NA,NA,NA,NA,100,5.9,100,20.2,NA,NA,NA,NA,0,-4.7,80,3.3,NA,NA,NA,NA
"03-06 Day","RE_RANK","B6_10",100,8.8,100,18.8,NA,NA,NA,NA,100,7.6,100,14.7,NA,NA,NA,NA,0,-5.8,80,4.2,NA,NA,NA,NA
"03-06 Day","RE_RANK","C11_15",100,8.9,100,15.4,NA,NA,NA,NA,100,5.3,100,11.5,NA,NA,NA,NA,0,-5.1,80,3,NA,NA,NA,NA
"03-06 Day","RE_RANK","D16_20",100,5.6,100,33.1,NA,NA,NA,NA,75,1,75,24.2,NA,NA,NA,NA,0,-10.8,75,-4.6,NA,NA,NA,NA
"03-06 Day","RE_RANK","Z21~all",100,8.5,98.9,16.6,NA,NA,NA,NA,93.6,5.1,92.6,12,NA,NA,NA,NA,0,-6.9,72.3,1.3,NA,NA,NA,NA
"03-06 Day","RE_RANK_UP","A1_5",100,7.3,100,23.4,NA,NA,NA,NA,100,5.9,100,20.2,NA,NA,NA,NA,0,-4.7,80,3.3,NA,NA,NA,NA
"03-06 Day","RE_RANK_UP","B6_10",100,7.4,100,19.8,NA,NA,NA,NA,100,6.1,100,16.1,NA,NA,NA,NA,0,-5.8,80,4.2,NA,NA,NA,NA
